run_id,phase,created_at,purpose,status,model_name,prompt_tokens,cache_read_tokens,cache_write_tokens,cache_miss_tokens,duration_ms
current_warm,优化后热运行,2026-09-08 22:18:04.355399,wiki_chunk_citation,success,qwen3.7-plus,8642,0,0,8642,11570
current_warm,优化后热运行,2026-09-08 22:18:05.730852,wiki_chunk_citation,success,qwen3.7-plus,8089,0,0,8089,12945
current_warm,优化后热运行,2026-09-08 22:18:08.86501,wiki_chunk_citation,success,qwen3.7-plus,7719,1152,0,6567,16080
current_warm,优化后热运行,2026-09-08 22:18:10.876351,wiki_chunk_citation,success,qwen3.7-plus,7560,0,0,7560,18091
current_warm,优化后热运行,2026-09-08 22:18:14.40556,wiki_chunk_citation,success,qwen3.7-plus,7638,1152,0,6486,8557
current_warm,优化后热运行,2026-09-08 22:18:20.700181,wiki_chunk_citation,success,qwen3.7-plus,8156,1152,0,7004,11724
current_warm,优化后热运行,2026-09-08 22:18:21.669698,wiki_chunk_citation,success,qwen3.7-plus,7874,1152,0,6722,10684
current_warm,优化后热运行,2026-09-08 22:18:22.08593,wiki_chunk_citation,success,qwen3.7-plus,7454,1152,0,6302,17621
current_warm,优化后热运行,2026-09-08 22:18:23.952607,wiki_chunk_citation,success,qwen3.7-plus,7206,1152,0,6054,9540
current_warm,优化后热运行,2026-09-08 22:18:33.465713,wiki_taxonomy_plan,success,qwen3.7-plus,1377,0,0,1377,9460
current_warm,优化后热运行,2026-09-08 22:18:47.86492,wiki_page_modify,success,qwen3.7-plus,9878,2304,0,7574,14369
current_warm,优化后热运行,2026-09-08 22:18:58.119046,wiki_page_modify,success,qwen3.7-plus,6136,2304,0,3832,10202
current_warm,优化后热运行,2026-09-08 22:19:11.445138,wiki_page_modify,success,qwen3.7-plus,6672,2304,0,4368,13279
current_warm,优化后热运行,2026-09-08 22:19:32.301485,wiki_page_modify,success,qwen3.7-plus,9110,2304,0,6806,20697
current_warm,优化后热运行,2026-09-08 22:19:55.190897,wiki_page_modify,success,qwen3.7-plus,14326,2304,0,12022,22715
current_warm,优化后热运行,2026-09-08 22:20:14.749208,wiki_page_modify,success,qwen3.7-plus,11169,2304,0,8865,19325
current_warm,优化后热运行,2026-09-08 22:20:34.80404,wiki_page_modify,success,qwen3.7-plus,13071,2304,0,10767,19997
current_warm,优化后热运行,2026-09-08 22:21:02.889292,wiki_page_modify,success,qwen3.7-plus,14669,2304,0,12365,27930
current_warm,优化后热运行,2026-09-08 22:21:21.801906,wiki_page_modify,success,qwen3.7-plus,8544,2304,0,6240,18737
current_warm,优化后热运行,2026-09-08 22:22:28.886136,wiki_page_modify,success,qwen3.7-plus,17919,2304,0,15615,66649
current_warm,优化后热运行,2026-09-08 22:22:38.827588,wiki_page_modify,success,qwen3.7-plus,6522,2304,0,4218,9723
current_warm,优化后热运行,2026-09-08 22:23:02.964934,wiki_page_modify,success,qwen3.7-plus,12337,2304,0,10033,23982
current_warm,优化后热运行,2026-09-08 22:23:21.485547,wiki_page_modify,success,qwen3.7-plus,13076,2304,0,10772,18258
current_warm,优化后热运行,2026-09-08 22:24:02.75913,wiki_page_modify,success,qwen3.7-plus,10245,2304,0,7941,41079
current_warm,优化后热运行,2026-09-08 22:24:49.555756,wiki_page_modify,success,qwen3.7-plus,15134,2304,0,12830,46499
current_warm,优化后热运行,2026-09-08 22:24:59.679022,wiki_page_modify,success,qwen3.7-plus,7149,2304,0,4845,9952
current_warm,优化后热运行,2026-09-08 22:25:24.478205,wiki_index_intro,success,qwen3.7-plus,380,0,0,380,2324
